,Antecedent,Consequent,Confidence_score
0,"('536370',)","('12/1/2010 8:45', '12583.0')",1.0
1,"('12/1/2010 8:45',)","('12583.0', '536370')",1.0
2,"('12/1/2010 8:45', '12583.0')","('536370',)",1.0
3,"('12/1/2010 8:45', '536370')","('12583.0',)",1.0
4,"('12583.0', '536370')","('12/1/2010 8:45',)",1.0
5,"('21324',)","('2.95', 'HANGING MEDINA LANTERN SMALL')",1.0
6,"('HANGING MEDINA LANTERN SMALL',)","('2.95', '21324')",1.0
7,"('2.95', '21324')","('HANGING MEDINA LANTERN SMALL',)",1.0
8,"('2.95', 'HANGING MEDINA LANTERN SMALL')","('21324',)",1.0
9,"('21324', 'HANGING MEDINA LANTERN SMALL')","('2.95',)",1.0
10,"('21711',)","('FOLDING UMBRELLA WHITE/RED POLKADOT',)",1.0
11,"('FOLDING UMBRELLA WHITE/RED POLKADOT',)","('21711',)",1.0
12,"('90200B',)","('4.25', 'BLACK SWEETHEART BRACELET')",1.0
13,"('BLACK SWEETHEART BRACELET',)","('4.25', '90200B')",1.0
14,"('4.25', '90200B')","('BLACK SWEETHEART BRACELET',)",1.0
15,"('4.25', 'BLACK SWEETHEART BRACELET')","('90200B',)",1.0
16,"('90200B', 'BLACK SWEETHEART BRACELET')","('4.25',)",1.0
17,"('22642',)","('SET OF 4 NAPKIN CHARMS STARS   ',)",1.0
18,"('SET OF 4 NAPKIN CHARMS STARS   ',)","('22642',)",1.0
19,"('84985A',)","('1.45', 'SET OF 72 GREEN PAPER DOILIES')",1.0
20,"('SET OF 72 GREEN PAPER DOILIES',)","('1.45', '84985A')",1.0
21,"('1.45', '84985A')","('SET OF 72 GREEN PAPER DOILIES',)",1.0
22,"('1.45', 'SET OF 72 GREEN PAPER DOILIES')","('84985A',)",1.0
23,"('84985A', 'SET OF 72 GREEN PAPER DOILIES')","('1.45',)",1.0
24,"('72800B',)","(' 4 PURPLE FLOCK DINNER CANDLES', '2.55')",1.0
25,"(' 4 PURPLE FLOCK DINNER CANDLES',)","('2.55', '72800B')",1.0
26,"(' 4 PURPLE FLOCK DINNER CANDLES', '2.55')","('72800B',)",1.0
27,"(' 4 PURPLE FLOCK DINNER CANDLES', '72800B')","('2.55',)",1.0
28,"('2.55', '72800B')","(' 4 PURPLE FLOCK DINNER CANDLES',)",1.0
29,"('21826',)","('1.25', 'EIGHT PIECE DINOSAUR SET')",1.0
30,"('EIGHT PIECE DINOSAUR SET',)","('1.25', '21826')",1.0
31,"('1.25', '21826')","('EIGHT PIECE DINOSAUR SET',)",1.0
32,"('1.25', 'EIGHT PIECE DINOSAUR SET')","('21826',)",1.0
33,"('21826', 'EIGHT PIECE DINOSAUR SET')","('1.25',)",1.0
34,"('85019A',)","('ROMANTIC IMAGES NOTEBOOK SET',)",1.0
35,"('ROMANTIC IMAGES NOTEBOOK SET',)","('85019A',)",1.0
36,"('12/1/2010 14:05',)","('14911.0',)",1.0
37,"('536540',)","('12/1/2010 14:05', '14911.0')",1.0
38,"('12/1/2010 14:05', '14911.0')","('536540',)",0.9523809523809523
39,"('12/1/2010 14:05', '536540')","('14911.0',)",1.0
40,"('14911.0', '536540')","('12/1/2010 14:05',)",1.0
41,"('22446',)","('PIN CUSHION BABUSHKA PINK',)",1.0
42,"('PIN CUSHION BABUSHKA PINK',)","('22446',)",1.0
43,"('536635',)","('12/2/2010 11:22', '15955.0')",1.0
44,"('12/2/2010 11:22',)","('15955.0', '536635')",1.0
45,"('12/2/2010 11:22', '15955.0')","('536635',)",1.0
46,"('12/2/2010 11:22', '536635')","('15955.0',)",1.0
47,"('15955.0', '536635')","('12/2/2010 11:22',)",1.0
48,"('22806',)","('SET OF 6 T-LIGHTS WEDDING CAKE ',)",1.0
49,"('SET OF 6 T-LIGHTS WEDDING CAKE ',)","('22806',)",1.0
50,"('536762',)","('12/2/2010 14:40', '16186.0')",1.0
51,"('12/2/2010 14:40',)","('16186.0', '536762')",1.0
52,"('12/2/2010 14:40', '16186.0')","('536762',)",1.0
53,"('12/2/2010 14:40', '536762')","('16186.0',)",1.0
54,"('16186.0', '536762')","('12/2/2010 14:40',)",1.0
55,"('536805',)","('12/2/2010 16:38', '14775.0')",1.0
56,"('12/2/2010 16:38',)","('14775.0', '536805')",1.0
57,"('12/2/2010 16:38', '14775.0')","('536805',)",1.0
58,"('12/2/2010 16:38', '536805')","('14775.0',)",1.0
59,"('14775.0', '536805')","('12/2/2010 16:38',)",1.0
60,"('22802',)","('FAUX FUR CHOCOLATE THROW',)",1.0
61,"('FAUX FUR CHOCOLATE THROW',)","('22802',)",1.0
