,Antecedent,Consequent,Confidence_score
0,"('GARDEN PATH JOURNAL',)","('2.55',)",1.0
1,"('ANTIQUE GLASS HEART DECORATION ',)","('1.95',)",1.0
2,"('GREEN JUICY FRUIT PHOTO FRAME',)","('2.55',)",1.0
3,"('MULTI HEARTS  STICKERS',)","('0.85',)",1.0
4,"('PACK 6 HEART/ICE-CREAM PATCHES',)","('1.25',)",1.0
5,"('537155',)","('12/5/2010 13:05', '12748.0')",1.0
6,"('12/5/2010 13:05', '12748.0')","('537155',)",1.0
7,"('12/5/2010 13:05', '537155')","('12748.0',)",1.0
8,"('12748.0', '537155')","('12/5/2010 13:05',)",1.0
9,"('537212',)","('12/5/2010 15:21', '12720.0')",1.0
10,"('12/5/2010 15:21',)","('12720.0', '537212')",1.0
11,"('12/5/2010 15:21', '12720.0')","('537212',)",1.0
12,"('12/5/2010 15:21', '537212')","('12720.0',)",1.0
13,"('12720.0', '537212')","('12/5/2010 15:21',)",1.0
14,"('ASSORTED TUTTI FRUTTI  FOB NOTEBOOK',)","('0.85',)",1.0
15,"('ASSORTED TUTTI FRUTTI HEART BOX',)","('1.25',)",1.0
16,"('537396',)","('12/6/2010 14:08', '17223.0')",1.0
17,"('12/6/2010 14:08',)","('17223.0', '537396')",1.0
18,"('12/6/2010 14:08', '17223.0')","('537396',)",1.0
19,"('12/6/2010 14:08', '537396')","('17223.0',)",1.0
20,"('17223.0', '537396')","('12/6/2010 14:08',)",1.0
21,"('537614',)","('12/7/2010 13:29', '16904.0')",1.0
22,"('12/7/2010 13:29',)","('16904.0', '537614')",1.0
23,"('12/7/2010 13:29', '16904.0')","('537614',)",1.0
24,"('12/7/2010 13:29', '537614')","('16904.0',)",1.0
25,"('16904.0', '537614')","('12/7/2010 13:29',)",1.0
26,"('13455.0',)","('12/8/2010 13:11', '537802')",0.8108108108108109
27,"('537802',)","('12/8/2010 13:11', '13455.0')",1.0
28,"('12/8/2010 13:11',)","('13455.0', '537802')",1.0
29,"('12/8/2010 13:11', '13455.0')","('537802',)",1.0
30,"('12/8/2010 13:11', '537802')","('13455.0',)",1.0
31,"('13455.0', '537802')","('12/8/2010 13:11',)",1.0
32,"('537822',)","('12/8/2010 14:22', '13523.0')",1.0
33,"('12/8/2010 14:22',)","('13523.0', '537822')",1.0
34,"('12/8/2010 14:22', '13523.0')","('537822',)",1.0
35,"('12/8/2010 14:22', '537822')","('13523.0',)",1.0
36,"('13523.0', '537822')","('12/8/2010 14:22',)",1.0
37,"('12/8/2010 14:43',)","('15680.0', '537828')",0.967741935483871
38,"('537828',)","('12/8/2010 14:43', '15680.0')",1.0
39,"('15680.0',)","('12/8/2010 14:43', '537828')",1.0
40,"('12/8/2010 14:43', '15680.0')","('537828',)",1.0
41,"('12/8/2010 14:43', '537828')","('15680.0',)",1.0
42,"('15680.0', '537828')","('12/8/2010 14:43',)",1.0
43,"('538053',)","('12/9/2010 13:34', '15856.0')",1.0
